"comuna","team","n_records","n_survey_days","n_dog_records","total_dogs","walked_km","raw_km","n_jumps","dogs_per_km","dogs_per_km_lcl","dogs_per_km_ucl","records_per_km","encounter_rate","effort_flag"
"PUTAENDO","Municipality",9,2,9,18,0.346955697796192,17.8819726485782,4,51.8798224509157,30.7472707557784,81.9924862114204,25.9399112254579,1,"low-effort"
"SAN ANTONIO","Municipality",47,3,38,61,1.45365829115809,1.45365829115809,0,41.9630943331277,32.0984421475076,53.9033501830828,32.3322202238853,0.808510638297872,"ok"
"SAN PEDRO DE LA PAZ","Municipality",24,4,21,38,1.06750766125792,1.06750766125792,0,35.596934222675,25.190509277946,48.8595733896635,22.4822742459,0.875,"ok"
"MULCHEN","University",9,2,7,23,0.687106466962612,8.42277905088235,5,33.4737061953042,21.2194583198968,50.2269947296405,13.0984067720756,0.777777777777778,"low-effort"
"HUALAÑE","Municipality",159,5,156,356,12.9732567288531,39.0621918233105,13,27.4410664523612,24.6642420227745,30.4449609833906,12.2559819267568,0.981132075471698,"ok"
"EL TABO","University",162,5,148,255,12.2913708296661,305.756569749771,64,20.7462620348691,18.2778254655489,23.455119458074,13.1799782339168,0.91358024691358,"ok"
"PADRE HURTADO","University",45,4,37,37,1.84018050189764,8.12030834178045,3,20.1067232056012,14.1569886977072,27.7144693628363,24.454122817623,0.822222222222222,"ok"
"VALPARAISO","University",71,5,59,90,4.78601123543774,8.56813328368142,3,18.8048033263274,15.1212825400914,23.1142958818793,14.8349004018805,0.830985915492958,"ok"
"PAPUDO","Municipality",25,3,25,44,2.75572550120575,4.43827447556751,2,15.9667572044996,11.6014702277697,21.4346262915022,9.0720211389202,1,"ok"
"NUEVA IMPERIAL","Municipality",48,5,44,111,8.15305963742059,12.6021466213243,4,13.6145207978777,11.1998846974054,16.3953948989862,5.8873603450282,0.916666666666667,"ok"
"SAN VICENTE","University",90,4,84,127,9.42759843873913,37.2790894078747,10,13.4710871305402,11.230238383497,16.028037896713,9.54643969880805,0.933333333333333,"ok"
"SAN JAVIER","Municipality",70,4,70,119,8.87282489768744,13.0397776402141,6,13.4117376790582,11.1105126398838,16.0491437070174,7.8892574582695,1,"ok"
"ILLAPEL","University",58,4,40,99,7.43777982432511,47.5714379849646,6,13.3104235858425,10.8180554889572,16.2049631207108,7.79802593918042,0.689655172413793,"ok"
"YERBAS BUENAS","Municipality",29,2,27,40,3.09759187023998,7.27613862240332,1,12.9132570317926,9.22542014535151,17.5841909604974,9.36211134804963,0.931034482758621,"ok"
"LOS ANDES","Municipality",44,4,43,55,4.31261849080832,10.1267266510408,4,12.7532727778318,9.60751039298923,16.6001375100864,10.2026182222655,0.977272727272727,"ok"
"LONCOCHE","University",166,6,146,197,16.3003144060622,19.1468359453179,2,12.0856564537635,10.4568314594036,13.8962802934325,10.1838526463185,0.879518072289157,"ok"
"IQUIQUE","Municipality",18,4,18,22,1.884679850534,1.884679850534,0,11.6730700939826,7.31545088059551,17.6731684045371,9.55069371325845,1,"ok"
"SIERRA GORDA","Municipality",33,2,31,47,4.28506347771246,4.28506347771246,0,10.9683322649611,8.05911799129317,14.5855567054545,7.70116946263226,0.93939393939394,"ok"
"ARICA","Municipality",44,4,44,52,4.844384509323,10.2925190683126,6,10.7340777553735,8.01672268700417,14.0763148774915,9.08268117762374,1,"ok"
"LONQUIMAY","University",44,5,35,44,4.24598064496089,270.404451959794,4,10.3627415382166,7.52958386564638,13.9114968294567,10.3627415382166,0.795454545454545,"ok"
"QUINTA NORMAL","Municipality",115,5,86,97,12.0727467763492,12.6913397989986,1,8.03462557419203,6.51554008639772,9.80156182553486,9.52558702094931,0.747826086956522,"ok"
"QUILLOTA","Municipality",39,2,29,34,4.82856460134744,4.82856460134744,0,7.04143007437698,4.87639502182524,9.83969274884396,8.07693449707948,0.743589743589744,"ok"
"VIÑA DEL MAR","Municipality",10,4,4,5,0.845380799616614,0.845380799616614,0,5.91449439384895,1.92042023056909,13.8024569337443,11.8289887876979,0.4,"low-effort"
"EL QUISCO","Municipality",149,5,48,84,19.1598088079203,23.3985233452597,7,4.38417736012459,3.49699156246741,5.42790989265493,7.7766955554591,0.322147651006711,"ok"
"LAS CONDES","University",26,4,9,9,3.04825625983123,6.41498075997925,4,2.95250767417379,1.35007451689976,5.6047792557851,8.52946661427984,0.346153846153846,"ok"
