"predictor","transform","RR","lwr","upr","p","n","p_fdr","sig","fdr_sig","RR_fmt"
"always_inside","none",1.26318330113088,1.02474135587221,1.57421140911157,0.0319590157782122,22,0.434964796704679,"*","","1.26 (1.02–1.57)"
"neutered","none",0.79352535079983,0.646334191413897,0.983069223067527,0.035320254550144,22,0.434964796704679,"*","","0.79 (0.65–0.98)"
"economia","none",0.791244377203895,0.606795379216102,1.06979425050265,0.0483294218560755,22,0.434964796704679,"*","","0.79 (0.61–1.07)"
"idh2005","none",0.832432275726082,0.648279304527868,1.07735589500138,0.111393858141844,22,0.751908542457446,"","","0.83 (0.65–1.08)"
"rm_total","log1p",1.17904456798259,0.93464802254184,1.51740619920689,0.152875444262341,22,0.82552739901664,"","","1.18 (0.93–1.52)"
"n_ong","log1p",0.871002627525831,0.670133740293468,1.13326501192266,0.238161009930734,22,0.963152462826969,"","","0.87 (0.67–1.13)"
"tasab2019","log1p",0.903165567789466,0.712318900943399,1.13049068371535,0.385112493202143,22,0.963152462826969,"","","0.90 (0.71–1.13)"
"idc2","none",0.903720068857488,0.684471364080144,1.20394408861554,0.393049636042408,22,0.963152462826969,"","","0.90 (0.68–1.20)"
"pct_urban_pop","none",1.09807115702885,0.856914775364178,1.37781197910265,0.429604140424486,22,0.963152462826969,"","","1.10 (0.86–1.38)"
"human_dog_ratio","none",1.09436752902107,0.855798590011477,1.37720105225436,0.446437466575225,22,0.963152462826969,"","","1.09 (0.86–1.38)"
"dogs_per_rural_dwell","none",1.07890805846375,0.888927950242782,1.31737426595665,0.502659129036047,20,0.963152462826969,"","","1.08 (0.89–1.32)"
"roam","none",0.925196910509174,0.72717798037093,1.18017314820083,0.507150511277949,22,0.963152462826969,"","","0.93 (0.73–1.18)"
"area_km2","log",0.945867870502778,0.725871866076881,1.23489751147501,0.638237860168171,22,0.963152462826969,"","","0.95 (0.73–1.23)"
"human_density_km2","log",1.0459283801229,0.804501621709811,1.34259264785004,0.705700139489642,22,0.963152462826969,"","","1.05 (0.80–1.34)"
"owned_dog_density_km2","log",1.04219765332289,0.801930158930876,1.34044843485119,0.728156397367455,22,0.963152462826969,"","","1.04 (0.80–1.34)"
"chip_total","log",1.03570218858993,0.791311490650829,1.330862035811,0.769170932240145,22,0.963152462826969,"","","1.04 (0.79–1.33)"
"vets_per_1000dogs","log1p",1.03575092378599,0.821371272670663,1.31215995694011,0.769577760710369,22,0.963152462826969,"","","1.04 (0.82–1.31)"
"educacion","none",0.967711230680105,0.736350205297756,1.2653475442151,0.783192057360227,22,0.963152462826969,"","","0.97 (0.74–1.27)"
"dogs_per_urban_dwell","none",1.02819974336719,0.792325843296742,1.29679451306478,0.821202862945116,21,0.963152462826969,"","","1.03 (0.79–1.30)"
"hogares","log",1.02046848049203,0.792377657081578,1.29982172354618,0.86509663648298,22,0.963152462826969,"","","1.02 (0.79–1.30)"
"enc_total","log",1.01454217425514,0.777596225606632,1.31285451077718,0.903810375041796,22,0.963152462826969,"","","1.01 (0.78–1.31)"
"pop_total","log",1.01216327713288,0.78893735402597,1.28892577365739,0.919247425407718,22,0.963152462826969,"","","1.01 (0.79–1.29)"
"bienestar","none",0.988795031943101,0.751465376859215,1.26430909822755,0.92422811157584,22,0.963152462826969,"","","0.99 (0.75–1.26)"
"vets","log1p",1.0092397401292,0.793067956009378,1.28562271960791,0.938681721030085,22,0.963152462826969,"","","1.01 (0.79–1.29)"
"owned_dogs_total","log",1.00677558270535,0.785011774563533,1.28193534156886,0.954830910990989,22,0.963152462826969,"","","1.01 (0.79–1.28)"
"chip_per_dog","log1p",1.00640661715401,0.793081851512422,1.28731945758468,0.956983974130024,22,0.963152462826969,"","","1.01 (0.79–1.29)"
"enc_perro","log",1.0055346102584,0.769984696405596,1.30309399376186,0.963152462826969,22,0.963152462826969,"","","1.01 (0.77–1.30)"
