"comuna","n_raw","n_kept","n_out_window","n_days","disposition"
"ARICA",55,44,2,4,"analysed"
"EL QUISCO",238,149,86,5,"analysed"
"EL TABO",189,162,18,5,"analysed"
"HUALAÑE",209,159,40,5,"analysed"
"HUALQUI",1,1,0,1,"single point — not estimable"
"ILLAPEL",61,58,2,4,"analysed"
"IQUIQUE",23,18,3,4,"analysed"
"LA ESTRELLA",9,9,0,3,"excluded"
"LAS CONDES",28,26,2,4,"analysed"
"LONCOCHE",196,166,20,6,"analysed"
"LONQUIMAY",58,44,14,5,"analysed"
"LOS ANDES",46,44,0,4,"analysed"
"MULCHEN",52,9,43,2,"analysed"
"NUEVA IMPERIAL",48,48,0,5,"analysed"
"PADRE HURTADO",67,45,6,4,"analysed"
"PAPUDO",28,25,0,3,"analysed"
"PUTAENDO",31,9,1,2,"analysed"
"PUTRE",3,0,3,0,"no records in survey window"
"QUILLOTA",49,39,8,2,"analysed"
"QUINTA NORMAL",148,115,33,5,"analysed"
"SAN ANTONIO",52,47,5,3,"analysed"
"SAN JAVIER",93,70,10,4,"analysed"
"SAN PEDRO DE LA PAZ",39,24,14,4,"analysed"
"SAN VICENTE",107,90,10,4,"analysed"
"SANTA MARIA",1,1,0,1,"single point — not estimable"
"SIERRA GORDA",39,33,6,2,"analysed"
"VALPARAISO",75,71,4,5,"analysed"
"VIÑA DEL MAR",12,10,2,4,"analysed"
"YERBAS BUENAS",29,29,0,2,"analysed"
